id_work;precision;rappel;mesureF1
1001;0.89;0.94;0.92
1002;1.00;0.94;0.97
1003;0.84;1.00;0.91
1004;1.00;0.89;0.94
1005;0.81;0.85;0.83
1006;1.00;1.00;1.00
1007;0.93;0.87;0.90
1008;1.00;1.00;1.00
1009;0.83;1.00;0.91
1010;0.91;0.95;0.93
1011;1.00;0.93;0.97
1012;1.00;0.94;0.97
1013;0.90;0.95;0.93
1014;1.00;1.00;1.00
1015;1.00;1.00;1.00
1016;1.00;0.95;0.98
1017;1.00;1.00;1.00
1018;0.79;1.00;0.88
1019;1.00;1.00;1.00
1020;0.91;0.76;0.83
1021;1.00;1.00;1.00
1022;1.00;1.00;1.00
1024;1.00;0.93;0.97
1025;0.81;0.91;0.85
1026;1.00;0.94;0.97
1027;0.93;1.00;0.96
1028;0.89;0.94;0.91
1030;0.82;1.00;0.90
1031;0.89;0.94;0.92
1032;0.95;1.00;0.97
1033;0.95;0.95;0.95
1034;0.96;1.00;0.98
1035;1.00;0.95;0.98
1036;1.00;0.94;0.97
1037;0.87;0.94;0.90
1038;1.00;0.96;0.98
1039;1.00;1.00;1.00
1040;1.00;0.96;0.98
1041;1.00;0.91;0.95
1042;0.79;1.00;0.88
1043;1.00;1.00;1.00
1044;1.00;0.90;0.95
1045;1.00;1.00;1.00
1046;1.00;1.00;1.00
1047;1.00;0.89;0.94
1048;0.95;0.91;0.93
1049;1.00;0.82;0.90
1050;0.90;0.90;0.90
1051;0.75;1.00;0.86
1052;1.00;0.86;0.92
1053;0.91;0.94;0.93
1054;0.96;0.89;0.92
1055;0.90;0.86;0.88
1056;0.95;0.91;0.93
1057;1.00;0.93;0.97
1058;0.97;0.90;0.93
1059;0.95;0.95;0.95
1060;1.00;1.00;1.00
1061;1.00;1.00;1.00
1062;0.94;0.94;0.94
1063;0.96;0.85;0.90
1064;1.00;0.93;0.96
1065;1.00;1.00;1.00
1066;0.88;0.96;0.92
1067;1.00;0.91;0.95
1068;1.00;1.00;1.00
1069;1.00;0.89;0.94
1070;0.89;0.98;0.94
1071;0.90;1.00;0.95
1072;1.00;1.00;1.00
1073;0.97;1.00;0.99
1074;0.88;1.00;0.93
1075;0.89;1.00;0.94
1076;1.00;1.00;1.00
1077;0.81;1.00;0.90
1078;1.00;1.00;1.00
1079;0.93;1.00;0.97
1080;0.97;1.00;0.98
1081;0.95;1.00;0.98
1082;0.94;1.00;0.97
1083;1.00;1.00;1.00
1084;0.87;1.00;0.93
1085;0.94;0.94;0.94
1086;0.97;0.92;0.94
1087;1.00;1.00;1.00
1088;0.83;1.00;0.90
1089;1.00;0.95;0.98
1090;1.00;0.94;0.97
1091;0.95;0.95;0.95
1092;1.00;0.93;0.96
1093;0.67;1.00;0.80
1094;1.00;1.00;1.00
1095;0.89;0.87;0.88
1096;1.00;1.00;1.00
1097;0.88;0.95;0.91
1098;1.00;0.85;0.92
1099;0.96;0.92;0.94
1100;0.96;0.96;0.96
1101;0.96;0.96;0.96
1102;0.94;1.00;0.97
1103;0.75;1.00;0.86
1104;1.00;0.94;0.97
1105;0.97;1.00;0.99
1106;0.95;0.84;0.89
1107;0.87;1.00;0.93
1108;0.78;1.00;0.88
1109;1.00;0.95;0.98
1110;1.00;1.00;1.00
1111;0.90;1.00;0.95
1112;0.96;1.00;0.98
1113;0.88;1.00;0.94
1114;0.88;1.00;0.94
1115;1.00;0.94;0.97
1116;1.00;1.00;1.00
1117;0.94;1.00;0.97
1118;1.00;1.00;1.00
1119;0.56;1.00;0.72
1120;0.77;0.91;0.83
1121;0.94;0.94;0.94
1122;0.95;1.00;0.97
1124;1.00;0.87;0.93
******Macrostats du programme sur le corpus d'évaluation******

Précision: 0.94
Rappel: 0.96
Mesure-F1: 0.95